toponym-index	Toponym mention @Asher	ASHER - xpath_location	GeoNarrative	seq_number	url	id	_ - primary_rom_full	_ - primary_heb_full	geotype	lat	lng	Ed Constantinople	Ms Casanatense	Ms_Epstein	Ms_London
88	ארגירפו	/TEI[1]/text[1]/body[1]/ab[1]/seg[40]/placeName[1]	5	11	http://data.geo-kima.org/14277	14277	Chalkis (Greece)	כלקיס (יוון)	point	38.464	23.602	לארגירפו	לאיגריט	לארגריפו	_
89	יובשטריסה	/TEI[1]/text[1]/body[1]/ab[1]/seg[41]/placeName[1]	5	12	https://www.geonames.org/258577				point	38.567348	23.281349	יבושטריסה	יבושטריסה	יבוסטריסו	_
90	רובינקה	/TEI[1]/text[1]/body[1]/ab[1]/seg[42]/placeName[1]	5	13	https://www.geonames.org/261211				point	38.77844	22.78573	לרובינקה	_	לרווינגו	_
91	שינון פוטמו		5	14	https://www.geonames.org/258620				point	38.9	22.43333				
92	בלכיא		5		http://geo-kima.org/place/9259	9259		ולאכיה	polygon			בלכיא	הלבלירא	בילקאייה	_
93	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[43]/placeName[1]	5		http://geo-kima.org/place/8822	8822		יוון	polygon	39.04697922	22.97947876				
94	גרדיגי	/TEI[1]/text[1]/body[1]/ab[1]/seg[44]/placeName[1]	5	15	https://www.geonames.org/255638				point	38.94813	22.8398	לגרדיגי	לגודיטו	לגרריקו	_
95	ארמילו	/TEI[1]/text[1]/body[1]/ab[1]/seg[45]/placeName[1]	5	16	http://www.byzantinejewry.net/applications/mjcb/show_evidence_details.php?evidence_id=5				point	39.183	22.759	לארמולו	לארמילו	לארמילו	_
96	בישינה	/TEI[1]/text[1]/body[1]/ab[1]/seg[46]/placeName[1]	5	17	http://www.byzantinejewry.net/applications/mjcb/show_evidence_details.php?evidence_id=9				point	39.687	22.725	לבישינה	לבישינה	למישינה	_
97	סלוסקי	/TEI[1]/text[1]/body[1]/ab[1]/seg[47]/placeName[1]	5	18	http://geo-kima.org/place/103	103	Thessalonikē (Greece)	סלוניקי (יוון)	point	40.64361	22.93086	סלוסקו	_	סיאלוסקי	_
99	מיטריסי	/TEI[1]/text[1]/body[1]/ab[1]/seg[48]/placeName[1]	5	19	https://www.geonames.org/736795				point	41.07041	23.46064	למיטריסי	טוריס	למטריסי	_
100	דרמה	/TEI[1]/text[1]/body[1]/ab[1]/seg[49]/placeName[1]	5	20	http://geo-kima.org/place/14269	14269	Drama (Greece)	דרמה (יוון)	point	41.15283	24.1473	לדרמה	לרדמה	לרראמה	_
101	קנישתולי	/TEI[1]/text[1]/body[1]/ab[1]/seg[50]/placeName[1]	5	21	https://www.geonames.org/735861				point	40.93959	24.40687	לקנישתולי	לקרישתופילי	לקניסטולי	_
102	אבירו	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[1]	5	22	http://geo-kima.org/place/4579	4579	Abydos (Egypt : Extinct city)	אבידוס (מצרים : עיר קדומה)	point	40.19406	26.41122	ליבירו	לאברו	לאבירו	_
103	קושטנדינה	/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[2]	5	23	http://geo-kima.org/Places/Details?id=6927	6927	Constantinople	קונסטנטינופול	point	41.012379	28.975926	קושטנדינה	קושטינה	קוסטאנטינו	_
104	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[1]	5		http://geo-kima.org/place/8822	8822		יוון	polygon	39.04697922	22.97947876				
105	קושטנטינה	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[2]	5	23	http://geo-kima.org/Places/Details?id=6927	6927	Constantinople	קונסטנטינופול	point	41.012379	28.975926	בקושטנטינה	בקושטנטינה	בקוסטאנטינה	_
106	קושטאנטינה	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[3]	5	23	http://geo-kima.org/Places/Details?id=6927	6927	Constantinople	קונסטנטינופול	point	41.012379	28.975926	קושטאנטינה	קוסטנטינה	קוסטאנטינה	_
108	בבל	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[5]	5						polygon	32.53617	44.42082	בבל	בבל	בבל	_
109	שנער	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[6]	5						polygon			שנער	ושנער	שנער	_
110	מדי	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[7]	5		http://geo-kima.org/place/22613	22613	Media (Ancient kingdom)	מדיה (ממלכה עתיקה)	polygon	34.5	46.5	מדי	ומדי	מדי	_
111	פרס	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[8]	5						polygon						
112	מצרים	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[9]	5		http://geo-kima.org/place/8046	8046		מצרים	polygon	19.21140877	30.56732963				
113	רושיא	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[10]	5						polygon			רושיא	רוסיאה	רושיא	_
114	אונגריאה	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[11]	5						polygon	47.16508477	19.42015481	ואונגריאה	ואונגריאה	ואונגריא'	_
115	פסיינקי	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[12]	5						polygon			ופסיינקי	ופיסינקי	ופסינגי	_
116	בודיא	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[13]	5						polygon			ובוריא	וכזריאה	ובוריא'	_
117	לונברדייא	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[14]	5		http://geo-kima.org/place/10968	10968	Lombardy (Italy)	לומברדיה (איטליה)	polygon			לונברדייא	לומברדיאה	לומברדיא'	_
118	ספרד	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[15]	5		http://geo-kima.org/place/6471	6471		ספרד	polygon			וספרד	וספרד	וספרד	_
119	בגדיד	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[16]	5		http://geo-kima.org/place/662	662	Baghdad (Iraq)	בגדאד (עיראק)	point	33.31468	44.39044	מבגדיד	מבגדד	מבגדד	_
120	בילכירנש	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[17]	5		https://www.wikidata.org/wiki/Q1472490				point	41.0339	28.9403				
121	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[18]	5		http://geo-kima.org/place/8822	8822		יוון	polygon	39.04697922	22.97947876				
122	ים שופיא	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[19]	5						polygon						
123	פירא	/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[20]	5		http://geo-kima.org/place/7544	7544	Beyoğlu (Istanbul, Turkey)	בייאואולו (איסטנבול, טורקיה)	point	41.031944	28.976111				
124	רודוסטו	/TEI[1]/text[1]/body[1]/ab[1]/seg[53]/placeName[1]	6	1	http://geo-kima.org/place/22213	22213	Tekirdağ (Turkey)	טקירדא (טורקיה)	point	40.97801	27.50852				
125	גאליפולי	/TEI[1]/text[1]/body[1]/ab[1]/seg[53]/placeName[2]	6	2	http://sws.geonames.org/746983				point	40.41028	26.67083				
126	קלש	/TEI[1]/text[1]/body[1]/ab[1]/seg[53]/placeName[3]	6	3	http://pleiades.stoa.org/places/844961				point	41.18195	31.387409				
127	מיטילין	/TEI[1]/text[1]/body[1]/ab[1]/seg[53]/placeName[4]	6	4	http://sws.geonames.org/256866				point	39.10772	26.55529				
128	כא	/TEI[1]/text[1]/body[1]/ab[1]/seg[53]/placeName[5]	6	5	http://geo-kima.org/place/17289	17289	Chios (Greece)	כיוס (יוון)	point	38.414	26.053				
129	סמו	/TEI[1]/text[1]/body[1]/ab[1]/seg[53]/placeName[6]	6	6	http://geo-kima.org/place/14268	14268	Samos (Greece)	סאמוס (יוון)	point	37.73	26.84				
130	רודוש	/TEI[1]/text[1]/body[1]/ab[1]/seg[53]/placeName[7]	6	7	http://geo-kima.org/place/2044	2044	Rhodes (Greece : Island)	רודוס (יוון : אי)	point	36.43333333	28.21666667				
131	כיפרוס	/TEI[1]/text[1]/body[1]/ab[1]/seg[53]/placeName[8]	6	8	http://geo-kima.org/place/7562	7562		קפריסין	point	35.04088353	33.27533716				
132	קורקוס	/TEI[1]/text[1]/body[1]/ab[1]/seg[54]/placeName[1]	7	1	https://pleiades.stoa.org/places/638939				point	36.465278	34.154167				
133	דוכיא	/TEI[1]/text[1]/body[1]/ab[1]/seg[54]/placeName[2]	7		http://geo-kima.org/Places/Details?id=16830	16830		חדיב	point	36.191111	44.009167				
134	מלמישטרש*	/TEI[1]/text[1]/body[1]/ab[1]/seg[55]/placeName[1]	7	2	http://geo-kima.org/place/9757	9757	Tarsus (Turkey)	טרסוס (טורקיה)	point	36.91242	34.89592				
135	תרשיש		7	2	http://geo-kima.org/place/9757	9757	Tarsus (Turkey)	טרסוס (טורקיה)	point	36.916667	34.9				
136	אנטוכיא הגדולה	/TEI[1]/text[1]/body[1]/ab[1]/seg[56]/placeName[1]	7	3	http://data.geo-kima.org/Places/11503	11503	Antioch (Turkey)	אנטיוכיה (טורקיה)	point	36.200663	36.165318				
137	נהר פיר		7		http://data.geo-kima.org/Places/Details?id=5150	5150		נהר אורונטס	line	35.2728339	36.4825754				
