Asher	Ed Constantinople	Ms Casanatense	Ms_Epstein	Ms_London	Adler	placeName	tempindexreal	place_ID	Gazetter	ContexTypology	Borders&Hierarchies	vocabularyType	tripleComparsion
הר הכרמל	הכרמל	הכרמל	הכרמל	הכרמל	"Mount
                        Carmel"	جبل الكرمل	temp0218	#K1156	KIMA	itin?		הר	fullAgreement
מערת אליהו	אליהו	אלייהו	אליהו	אליהו	cave of 	الكهف الذي أوى إليه النبي إلياس	temp0219	#K58317	KIMA				fullAgreement
שנט אליש	שנט אליש	שנת אלייש	סאנטו אליאס	שאן אליש	St. Elias		temp0220	#U14					fullAgreement
מקום המזבח	המזבח	המזבח	מזבח	המזבח	altar	أطلال المذبح	temp0221						fullAgreement
נחל קישון	קישון	קישון	קישון	קישון	Kishon	نهر قيشون	temp0222	#K63071	KIMA	itin?			fullAgreement
כפר נחום	#כפר נחום	#כפר נאום	#כפר נחום	כפר נאום	Capernaum	كفرناحوم	temp0223	#U15				כפר	fullAgreement
	כפר נחום	כפר נחום	כפר נחום	כפר דנחום	"village of
                        Nahum"		recogito-d062f403-8566-4390-838a-18608cecbab5						
מעין	מעין	מעיין	מעין	מעון	Maon	معون	temp0224						fullAgreement
שיזריא	שיזריא	שיזיריאיה	סיצאריא'	שיזיריאה	Caesarea	قيسارية	temp0225	#K6936	KIMA	itin		עיר	fullAgreement
גת	גד	גת	גת	גת	Gath		temp0226			idt		עיר*	AsherAdlerAgreement
					Shomron		temp0227						AdlerOnly
קיסריה	קיסריה	קסריאה	קיסיריאה	קיסיריה	Caesarea		temp0228	#K6936	KIMA	namesake:ling			fullAgreement
קקון	קקו	קאקו	קאקו	קאקו	Kako	قاقون	temp0229	#K19717	KIMA	itin			fullAgreement
קעילה	קעילה	קעילה	קעילה	קעילה	Keilah	قعيلة	temp0230						fullAgreement
שרגורג	שרגורג	שרגני	סרגוגר	שרגרני	St. George	اللد	temp0231	#K48396	KIMA	itin			fullAgreement
